reference,Name,Manufacturer,PartNumber,Retailer,Quantity,Observation 1,Observation 2
,,,,,,,
A1,PCB socket,Samtec,SSW-116-02-G-S ,RS,2,Electronics,"1 row, 15 pin"
,Darlington pair NPN transistor,Fairchild,KSP 13BU,Farnell,1,Electronics,"Ic = 500 mA, Vces = 30 V"
RV1,1 k ohm variable resistor,Vishay,249FGJSPXB25102KAï¿½,RS,1,Electronics,panel mount
,Knob for variable resistor,RS Online,PKA50B1/4,TE Connectivity,1,Electronics,6.35mm shaft radius
SW1,DPDT switch,Multicomp,2MD3T2B2M6RE,Farnell,1,Electronics,ON-(OFF)-ON panel mount
,SPST footswitch,RS Online,335-319,RS,1,Electronics,push-to-contact
,2.1 mm right angle DC socket,RS Online,884-0957,RS,1,Electronics,2.1 mm right angle
D3,24 V Zener Diode,Semiconductor,1N5359BG,Farnell,1,Electronics,24V
D2,1N4148 signal diode,Fairchild,1n4148,Farnell,1,Electronics,24V
R4;R5;R6,1 k ohm resistor,Digikey,CF14JT1K00,Digikey,3,Electronics,1 k? through hole resistor
R1;R2;R3,220 ohm resistor,Stackpole electronics,CF14JT220R ,Digikey,3,Electronics,220 ? through hole resistor
,Voltage step-down regulator,RS Online,LM2596T-5.0/NOPB,RS,1,Electronics,"5V, 3A"
C1,Capacitor 680 uF,RS Online,EEUFM1E681,RS,1,Electronics,24V minimum
C2,Capacitor 220 uF,RS Online,EEUFM1E221,RS,1,Electronics,24V minimum
D4,Diode 1N5824,RS Online,1N5822RL,RS,1,Electronics,24V minimum
L1,Inductor 33 uH,Bourns,RLB0914-330KL,Farnell,1,Electronics,
,3 mm LED,Digikey,350-1557-ND,Digikey,1,Electronics,"3mm round, throughhole, grn"
,Mount for 3 mm LED,Digikey,67-1330-ND,Digikey,1,Electronics,3mm panel mount
J1;J4,BNC coaxial connectors,TE Connectivity,1-1337542-0,Farnell,2,Electronics,"Right angle jacks, 50ohm"
,Cable Mount BNC Connector,RS Online,546-3721,RS,1,Electronics,Plug Crimp Termination
"J3,D1",2 way JST Female Connector Housing,RS Online,820-1611,JST,2,Electronics,
SW2,3 way JST Female Connector Housing,RS Online,820-1614,JST,1,Electronics,
,2 way JST PCB header,RS Online,820-1554,JST,2,Electronics,
SW2,3 way JST PCB header,RS Online,820-1557,JST,1,Electronics,
,2 distinc colour wires,RS Online,331-862,RS,20 cm,Electronics,20 AWG
,Rocker LED switch,,,Ebay,1,Electronics,Round Switch / 3 pins
,,,,,,,
